Time Index,Year,Domestic ,International,TOTAL,,
1,5/1/2003,,"4,191,039",4191039,,Airline passenger data travelling to US via all Foreign Carries
2,6/1/2003,,"4,936,396",4936396,,
3,7/1/2003,,"5,514,086",5514086,,Modeling on TOTAL number of passengers
4,8/1/2003,,"5,527,340",5527340,,
5,9/1/2003,,"4,630,051",4630051,,
6,10/1/2003,4,"4,687,536",4687540,,
7,11/1/2003,,"4,636,127",4636127,,
8,12/1/2003,,"5,153,556",5153556,,
9,1/1/2004,,"4,997,197",4997197,,
10,2/1/2004,47,"4,368,688",4368735,,
11,3/1/2004,,"5,170,737",5170737,,
12,4/1/2004,,"5,137,995",5137995,,
13,5/1/2004,,"5,203,737",5203737,,
14,6/1/2004,,"5,753,743",5753743,,
15,7/1/2004,,"6,319,638",6319638,,
16,8/1/2004,,"6,216,769",6216769,,
17,9/1/2004,,"5,174,437",5174437,,
18,10/1/2004,,"5,142,213",5142213,,
19,11/1/2004,864,"4,790,106",4790970,,
20,12/1/2004,219,"5,202,574",5202793,,
21,1/1/2005,,"5,228,766",5228766,,
22,2/1/2005,,"4,445,477",4445477,,
23,3/1/2005,,"5,515,330",5515330,,
24,4/1/2005,,"5,132,433",5132433,,
25,5/1/2005,,"5,589,346",5589346,,
26,6/1/2005,,"6,016,935",6016935,,
27,7/1/2005,,"6,553,863",6553863,,
28,8/1/2005,0,"6,284,147",6284147,,
29,9/1/2005,,"5,391,959",5391959,,
30,10/1/2005,,"5,233,831",5233831,,
31,11/1/2005,,"4,935,602",4935602,,
32,12/1/2005,,"5,417,552",5417552,,
33,1/1/2006,,"5,321,165",5321165,,
34,2/1/2006,,"4,460,366",4460366,,
35,3/1/2006,,"5,485,402",5485402,,
36,4/1/2006,,"5,582,508",5582508,,
37,5/1/2006,,"5,613,739",5613739,,
38,6/1/2006,,"6,065,774",6065774,,
39,7/1/2006,,"6,572,618",6572618,,
40,8/1/2006,,"6,327,948",6327948,,
41,9/1/2006,,"5,820,949",5820949,,
42,10/1/2006,3,"5,236,211",5236214,,
43,11/1/2006,,"5,049,426",5049426,,
44,12/1/2006,,"5,468,903",5468903,,
45,1/1/2007,,"5,217,806",5217806,,
46,2/1/2007,,"4,512,987",4512987,,
47,3/1/2007,,"5,599,865",5599865,,
48,4/1/2007,"1,939","5,561,732",5563671,,
49,5/1/2007,"1,974","5,727,645",5729619,,
50,6/1/2007,,"6,217,382",6217382,,
51,7/1/2007,,"6,774,568",6774568,,
52,8/1/2007,"2,512","6,701,815",6704327,,
53,9/1/2007,"2,387","5,666,525",5668912,,
54,10/1/2007,"2,369","5,658,211",5660580,,
55,11/1/2007,"2,910","5,407,350",5410260,,
56,12/1/2007,"2,601","5,821,262",5823863,,
57,1/1/2008,,"5,579,812",5579812,,
58,2/1/2008,,"4,981,603",4981603,,
59,3/1/2008,,"5,964,711",5964711,,
60,4/1/2008,,"5,622,391",5622391,,
61,5/1/2008,,"5,881,113",5881113,,
62,6/1/2008,,"6,279,359",6279359,,
63,7/1/2008,,"6,656,767",6656767,,
64,8/1/2008,,"6,739,949",6739949,,
65,9/1/2008,100,"5,431,840",5431940,,
66,10/1/2008,0,"5,479,472",5479472,,
67,11/1/2008,,"5,121,209",5121209,,
68,12/1/2008,142,"5,617,978",5618120,,
69,1/1/2009,"3,345","5,337,537",5340882,,
70,2/1/2009,"3,095","4,442,280",4445375,,
71,3/1/2009,"3,404","5,281,306",5284710,,
72,4/1/2009,"2,380","5,543,448",5545828,,
73,5/1/2009,"2,664","5,209,536",5212200,,
74,6/1/2009,,"5,739,465",5739465,,
75,7/1/2009,,"6,554,500",6554500,,
76,8/1/2009,,"6,626,953",6626953,,
77,9/1/2009,,"5,439,821",5439821,,
78,10/1/2009,,"5,610,445",5610445,,
79,11/1/2009,,"5,085,453",5085453,,
80,12/1/2009,89,"5,766,412",5766501,,
81,1/1/2010,,"5,577,395",5577395,,
82,2/1/2010,,"4,679,750",4679750,,
83,3/1/2010,,"5,748,003",5748003,,
84,4/1/2010,,"5,457,278",5457278,,
85,5/1/2010,,"5,978,065",5978065,,
86,6/1/2010,,"6,306,282",6306282,,
87,7/1/2010,,"6,974,550",6974550,,
88,8/1/2010,,"6,671,407",6671407,,
89,9/1/2010,,"5,751,692",5751692,,
90,10/1/2010,,"5,802,224",5802224,,
91,11/1/2010,169,"5,141,125",5141294,,
92,12/1/2010,,"5,646,060",5646060,,
93,1/1/2011,79,"5,513,291",5513370,,
94,2/1/2011,,"4,738,952",4738952,,
95,3/1/2011,,"5,740,232",5740232,,
96,4/1/2011,,"6,042,079",6042079,,
97,5/1/2011,,"6,263,182",6263182,,
98,6/1/2011,,"6,558,040",6558040,,
99,7/1/2011,273,"7,239,433",7239706,,
100,8/1/2011,,"7,075,905",7075905,,
101,9/1/2011,,"6,327,601",6327601,,
102,10/1/2011,,"6,315,505",6315505,,
103,11/1/2011,,"5,724,253",5724253,,
104,12/1/2011,83,"6,227,399",6227482,,
105,1/1/2012,410,"6,050,949",6051359,,
106,2/1/2012,283,"5,214,467",5214750,,
107,3/1/2012,287,"6,327,717",6328004,,
108,4/1/2012,115,"6,386,931",6387046,,
109,5/1/2012,,"6,562,380",6562380,,
110,6/1/2012,,"7,073,163",7073163,,
111,7/1/2012,,"7,670,644",7670644,,
112,8/1/2012,,"7,728,982",7728982,,
113,9/1/2012,,"6,693,300",6693300,,
114,10/1/2012,,"6,445,100",6445100,,
115,11/1/2012,,"6,053,789",6053789,,
116,12/1/2012,,"6,596,953",6596953,,
117,1/1/2013,,"6,444,399",6444399,,
118,2/1/2013,,"5,472,757",5472757,,
119,3/1/2013,,"6,857,206",6857206,,
120,4/1/2013,,"6,733,106",6733106,,
121,5/1/2013,,"7,326,412",7326412,,
122,6/1/2013,,"7,515,296",7515296,,
123,7/1/2013,,"8,031,394",8031394,,
124,8/1/2013,,"8,252,008",8252008,,
125,9/1/2013,,"6,996,946",6996946,,
126,10/1/2013,69,"7,063,223",7063292,,
127,11/1/2013,211,"6,282,640",6282851,,
128,12/1/2013,,"7,121,417",7121417,,
129,1/1/2014,,"7,014,914",7014914,,
130,2/1/2014,,"5,708,912",5708912,,
131,3/1/2014,232,"7,095,081",7095313,,
132,4/1/2014,,"7,368,420",7368420,,
133,5/1/2014,,"7,760,455",7760455,,
134,6/1/2014,240,"8,079,060",8079300,,
135,7/1/2014,476,"8,782,744",8783220,,
136,8/1/2014,,"9,038,255",9038255,,
137,9/1/2014,143,"7,619,322",7619465,,
138,10/1/2014,666,"7,672,751",7673417,,
139,11/1/2014,304,"6,638,504",6638808,,
140,12/1/2014,345,"7,625,783",7626128,,
141,1/1/2015,409,"7,308,014",7308423,,
142,2/1/2015,360,"6,387,275",6387635,,
143,3/1/2015,398,"7,607,862",7608260,,
144,4/1/2015,298,"7,484,217",7484515,,
145,5/1/2015,662,"8,431,154",8431816,,
146,6/1/2015,571,"8,260,090",8260661,,
147,7/1/2015,820,"8,978,059",8978879,,
148,8/1/2015,626,"8,822,627",8823253,,
